Timestamp,Event Type,Assigned Spot
2025-08-19 09:50:14,ARRIVAL,3:38
2025-08-19 09:50:14,ARRIVAL,1:36
2025-08-19 09:50:14,ARRIVAL,2:1
2025-08-19 09:50:15,ARRIVAL,1:11
2025-08-19 09:50:16,ARRIVAL,3:45
2025-08-19 09:50:17,ARRIVAL,1:22
2025-08-19 09:50:18,ARRIVAL,1:16
2025-08-19 09:50:19,ARRIVAL,1:5
2025-08-19 09:50:20,ARRIVAL,1:31
2025-08-19 09:50:21,ARRIVAL,2:21
2025-08-19 09:50:22,ARRIVAL,2:36
2025-08-19 09:50:23,ARRIVAL,2:50
2025-08-19 09:50:24,ARRIVAL,2:32
2025-08-19 09:50:25,ARRIVAL,3:28
2025-08-19 09:50:26,ARRIVAL,3:43
2025-08-19 09:50:27,ARRIVAL,3:40
2025-08-19 09:50:28,ARRIVAL,1:49
2025-08-19 09:50:29,ARRIVAL,1:46
2025-08-19 09:50:30,EXIT,1:22
2025-08-19 09:50:31,ARRIVAL,1:50
2025-08-19 09:50:32,ARRIVAL,1:24
2025-08-19 09:50:33,ARRIVAL,1:35
2025-08-19 09:50:34,ARRIVAL,2:4
2025-08-19 09:50:35,ARRIVAL,2:39
2025-08-19 09:50:36,ARRIVAL,2:40
2025-08-19 09:50:37,ARRIVAL,2:23
2025-08-19 09:50:38,ARRIVAL,2:19
2025-08-19 09:50:39,ARRIVAL,3:15
2025-08-19 09:50:40,ARRIVAL,2:12
2025-08-19 09:50:41,ARRIVAL,3:24
2025-08-19 09:50:42,ARRIVAL,3:5
2025-08-19 09:50:43,ARRIVAL,2:20
2025-08-19 09:50:44,ARRIVAL,3:17
2025-08-19 09:50:45,ARRIVAL,3:4
2025-08-19 09:50:46,ARRIVAL,1:29
2025-08-19 09:50:47,ARRIVAL,3:19
2025-08-19 09:50:48,EXIT,3:28
2025-08-19 09:50:49,ARRIVAL,1:25
2025-08-19 09:50:50,ARRIVAL,1:32
2025-08-19 09:50:51,ARRIVAL,1:9
2025-08-19 09:50:52,ARRIVAL,3:46
2025-08-19 09:50:53,ARRIVAL,1:42
2025-08-19 09:50:54,ARRIVAL,2:48
2025-08-19 09:50:55,ARRIVAL,2:30
2025-08-19 09:50:56,ARRIVAL,2:42
2025-08-19 09:50:59,ARRIVAL,1:43
2025-08-19 09:51:00,ARRIVAL,3:21
2025-08-19 09:51:00,EXIT,3:46
2025-08-19 09:51:01,ARRIVAL,3:14
2025-08-19 09:51:01,EXIT,1:29
2025-08-19 09:51:02,ARRIVAL,3:3
2025-08-19 09:51:04,ARRIVAL,3:10
2025-08-19 09:51:04,ARRIVAL,3:22
2025-08-19 09:51:06,ARRIVAL,3:32
2025-08-19 09:51:06,ARRIVAL,1:10
2025-08-19 09:51:07,ARRIVAL,1:29
2025-08-19 09:51:08,ARRIVAL,1:47
2025-08-19 09:51:09,EXIT,3:21
2025-08-19 09:51:10,EXIT,3:3
2025-08-19 09:51:11,ARRIVAL,3:36
2025-08-19 09:51:12,ARRIVAL,3:42
2025-08-19 09:51:13,ARRIVAL,1:7
2025-08-19 09:51:14,ARRIVAL,1:28
2025-08-19 09:51:15,ARRIVAL,2:35
2025-08-19 09:51:16,ARRIVAL,2:44
2025-08-19 09:51:17,ARRIVAL,2:24
2025-08-19 09:51:18,ARRIVAL,2:47
2025-08-19 09:51:19,ARRIVAL,3:23
2025-08-19 09:51:20,ARRIVAL,3:25
2025-08-19 09:51:21,ARRIVAL,2:34
2025-08-19 09:51:22,ARRIVAL,3:21
2025-08-19 09:51:23,ARRIVAL,3:28
2025-08-19 09:51:24,ARRIVAL,2:22
2025-08-19 09:51:25,ARRIVAL,2:38
2025-08-19 09:51:26,ARRIVAL,2:7
2025-08-19 09:51:27,EXIT,3:32
2025-08-19 09:51:28,ARRIVAL,2:49
2025-08-19 09:51:29,ARRIVAL,3:2
2025-08-19 09:51:30,ARRIVAL,2:41
2025-08-19 09:51:31,ARRIVAL,1:1
2025-08-19 09:51:32,ARRIVAL,1:19
2025-08-19 09:51:33,ARRIVAL,3:46
2025-08-19 09:51:34,ARRIVAL,3:3
2025-08-19 09:51:35,ARRIVAL,3:6
2025-08-19 09:51:36,ARRIVAL,3:32
2025-08-19 09:51:37,ARRIVAL,2:45
2025-08-19 09:51:38,ARRIVAL,3:47
2025-08-19 09:51:39,ARRIVAL,2:43
2025-08-19 09:51:40,ARRIVAL,1:38
2025-08-19 09:51:41,ARRIVAL,2:28
2025-08-19 09:51:42,EXIT,3:15
2025-08-19 09:51:43,ARRIVAL,3:1
2025-08-19 09:51:44,ARRIVAL,2:25
2025-08-19 09:51:45,ARRIVAL,2:15
2025-08-19 09:51:46,EXIT,2:7
2025-08-19 09:51:47,ARRIVAL,2:13
2025-08-19 09:51:48,ARRIVAL,1:12
2025-08-19 09:51:49,ARRIVAL,1:17
2025-08-19 09:51:50,ARRIVAL,3:12
2025-08-19 09:51:51,ARRIVAL,3:50
2025-08-19 09:51:52,ARRIVAL,3:18
2025-08-19 09:51:53,ARRIVAL,3:9
2025-08-19 09:51:54,ARRIVAL,3:31
2025-08-19 09:51:55,EXIT,2:32
2025-08-19 09:51:56,ARRIVAL,1:45
2025-08-19 09:51:57,EXIT,1:1
2025-08-19 09:51:58,ARRIVAL,1:37
2025-08-19 09:51:59,ARRIVAL,1:6
2025-08-19 09:52:00,ARRIVAL,1:44
2025-08-19 09:52:01,ARRIVAL,1:27
