Timestamp,Event Type,Assigned Spot
2025-08-19 10:41:51,ARRIVAL,1:35
2025-08-19 10:41:52,ARRIVAL,1:46
2025-08-19 10:41:53,EXIT,1:46
2025-08-19 10:41:54,ARRIVAL,3:10
2025-08-19 10:41:56,EXIT,3:10
2025-08-19 10:41:56,ARRIVAL,1:39
2025-08-19 10:41:57,EXIT,1:39
2025-08-19 10:41:58,ARRIVAL,3:8
2025-08-19 10:41:59,ARRIVAL,1:41
2025-08-19 10:42:00,ARRIVAL,3:48
2025-08-19 10:42:01,ARRIVAL,1:21
2025-08-19 10:42:02,ARRIVAL,1:1
2025-08-19 10:42:03,ARRIVAL,1:9
2025-08-19 10:42:04,ARRIVAL,2:22
2025-08-19 10:42:05,ARRIVAL,2:49
2025-08-19 10:42:06,ARRIVAL,1:8
2025-08-19 10:42:07,EXIT,1:41
2025-08-19 10:42:08,ARRIVAL,2:11
2025-08-19 10:42:09,EXIT,3:48
2025-08-19 10:42:10,ARRIVAL,2:24
2025-08-19 10:42:11,EXIT,1:21
2025-08-19 10:42:12,ARRIVAL,2:44
2025-08-19 10:42:13,ARRIVAL,3:31
2025-08-19 10:42:14,EXIT,3:8
2025-08-19 10:42:15,EXIT,3:31
2025-08-19 10:42:16,ARRIVAL,3:5
2025-08-19 10:42:17,ARRIVAL,3:14
2025-08-19 10:42:18,ARRIVAL,3:11
2025-08-19 10:42:19,ARRIVAL,3:50
2025-08-19 10:42:20,ARRIVAL,1:40
2025-08-19 10:42:21,EXIT,2:22
2025-08-19 10:42:22,ARRIVAL,2:46
2025-08-19 10:42:23,ARRIVAL,3:15
2025-08-19 10:42:24,EXIT,3:50
2025-08-19 10:42:25,ARRIVAL,1:50
2025-08-19 10:42:26,ARRIVAL,3:20
2025-08-19 10:42:27,ARRIVAL,1:36
2025-08-19 10:42:28,ARRIVAL,1:29
2025-08-19 10:42:29,ARRIVAL,1:24
2025-08-19 10:42:30,EXIT,2:11
2025-08-19 10:42:31,ARRIVAL,1:41
2025-08-19 10:42:32,ARRIVAL,3:26
2025-08-19 10:42:33,ARRIVAL,3:22
2025-08-19 10:42:34,EXIT,1:41
2025-08-19 10:42:35,ARRIVAL,3:8
2025-08-19 10:42:36,ARRIVAL,1:12
2025-08-19 10:42:37,ARRIVAL,3:12
2025-08-19 10:42:38,ARRIVAL,3:13
2025-08-19 10:42:39,ARRIVAL,2:6
2025-08-19 10:42:40,ARRIVAL,2:35
2025-08-19 10:42:41,ARRIVAL,1:21
2025-08-19 10:42:42,ARRIVAL,2:4
2025-08-19 10:42:43,ARRIVAL,1:37
2025-08-19 10:42:44,ARRIVAL,2:42
2025-08-19 10:42:45,ARRIVAL,1:43
2025-08-19 10:42:46,ARRIVAL,2:26
2025-08-19 10:42:47,ARRIVAL,2:12
2025-08-19 10:42:48,ARRIVAL,3:18
2025-08-19 10:42:49,EXIT,3:15
2025-08-19 10:42:50,ARRIVAL,1:48
2025-08-19 10:42:51,ARRIVAL,2:2
2025-08-19 10:42:52,EXIT,1:24
2025-08-19 10:42:53,ARRIVAL,1:15
2025-08-19 10:42:54,ARRIVAL,1:7
2025-08-19 10:42:55,ARRIVAL,2:16
2025-08-19 10:42:56,ARRIVAL,1:18
2025-08-19 10:42:57,ARRIVAL,3:1
2025-08-19 10:42:58,ARRIVAL,2:50
2025-08-19 10:42:59,EXIT,3:11
2025-08-19 10:43:00,EXIT,1:29
2025-08-19 10:43:01,ARRIVAL,2:27
2025-08-19 10:43:02,ARRIVAL,3:30
2025-08-19 10:43:03,ARRIVAL,3:2
2025-08-19 10:43:04,ARRIVAL,3:19
2025-08-19 10:43:05,ARRIVAL,2:1
2025-08-19 10:43:06,ARRIVAL,3:9
2025-08-19 10:43:07,ARRIVAL,3:10
2025-08-19 10:43:08,ARRIVAL,1:26
2025-08-19 10:43:09,ARRIVAL,1:42
2025-08-19 10:43:10,ARRIVAL,1:34
2025-08-19 10:43:11,ARRIVAL,1:3
2025-08-19 10:43:12,ARRIVAL,1:11
2025-08-19 10:43:13,ARRIVAL,2:38
2025-08-19 10:43:14,EXIT,3:10
2025-08-19 10:43:15,ARRIVAL,1:45
2025-08-19 10:43:16,EXIT,1:37
2025-08-19 10:43:17,ARRIVAL,1:29
2025-08-19 10:43:18,ARRIVAL,1:38
2025-08-19 10:43:19,ARRIVAL,1:28
2025-08-19 10:43:20,ARRIVAL,2:39
2025-08-19 10:43:21,ARRIVAL,1:30
2025-08-19 10:43:22,ARRIVAL,1:37
2025-08-19 10:43:23,ARRIVAL,2:41
2025-08-19 10:43:24,ARRIVAL,1:24
2025-08-19 10:43:25,ARRIVAL,1:47
2025-08-19 10:43:26,ARRIVAL,2:14
2025-08-19 10:43:27,ARRIVAL,1:32
2025-08-19 10:43:28,EXIT,1:42
2025-08-19 10:43:29,ARRIVAL,1:14
2025-08-19 10:43:30,ARRIVAL,3:45
2025-08-19 10:43:31,ARRIVAL,3:4
2025-08-19 10:43:32,ARRIVAL,2:25
2025-08-19 10:43:33,ARRIVAL,2:13
2025-08-19 10:43:34,ARRIVAL,3:27
2025-08-19 10:43:36,ARRIVAL,3:28
2025-08-19 10:43:36,ARRIVAL,3:48
2025-08-19 10:43:37,ARRIVAL,3:47
2025-08-19 10:43:38,ARRIVAL,2:34
2025-08-19 10:43:39,ARRIVAL,2:31
2025-08-19 10:43:40,ARRIVAL,2:10
2025-08-19 10:43:41,ARRIVAL,1:25
2025-08-19 10:43:42,EXIT,2:49
2025-08-19 10:43:43,ARRIVAL,2:7
2025-08-19 10:43:44,ARRIVAL,2:29
2025-08-19 10:43:45,EXIT,1:48
2025-08-19 10:43:46,ARRIVAL,3:38
2025-08-19 10:43:47,ARRIVAL,3:10
2025-08-19 10:43:48,ARRIVAL,3:7
2025-08-19 10:43:49,ARRIVAL,3:46
2025-08-19 10:43:50,ARRIVAL,3:17
2025-08-19 10:43:51,ARRIVAL,2:43
2025-08-19 10:43:52,ARRIVAL,2:11
2025-08-19 10:43:53,ARRIVAL,2:20
2025-08-19 10:43:54,ARRIVAL,2:8
2025-08-19 10:43:55,ARRIVAL,2:37
2025-08-19 10:43:56,ARRIVAL,3:29
2025-08-19 10:43:57,ARRIVAL,3:44
2025-08-19 10:43:58,EXIT,1:14
2025-08-19 10:43:59,ARRIVAL,3:23
2025-08-19 10:44:00,ARRIVAL,3:33
2025-08-19 10:44:01,ARRIVAL,3:21
2025-08-19 10:44:02,EXIT,2:16
2025-08-19 10:44:03,EXIT,2:46
2025-08-19 10:44:04,ARRIVAL,1:22
2025-08-19 10:44:05,EXIT,3:23
2025-08-19 10:44:06,ARRIVAL,3:50
2025-08-19 10:44:07,ARRIVAL,1:19
2025-08-19 10:44:08,ARRIVAL,1:6
2025-08-19 10:44:09,ARRIVAL,2:9
2025-08-19 10:44:10,EXIT,1:15
2025-08-19 10:44:11,ARRIVAL,1:5
2025-08-19 10:44:12,ARRIVAL,2:30
2025-08-19 10:44:13,ARRIVAL,3:24
2025-08-19 10:44:14,ARRIVAL,3:32
2025-08-19 10:44:15,ARRIVAL,3:49
2025-08-19 10:44:16,ARRIVAL,2:23
2025-08-19 10:44:17,ARRIVAL,3:40
2025-08-19 10:44:18,ARRIVAL,3:43
2025-08-19 10:44:19,EXIT,1:11
2025-08-19 10:44:20,ARRIVAL,3:3
2025-08-19 10:44:21,EXIT,2:41
2025-08-19 10:44:22,ARRIVAL,3:6
2025-08-19 10:44:23,ARRIVAL,3:39
2025-08-19 10:44:24,EXIT,2:12
2025-08-19 10:44:25,ARRIVAL,2:21
2025-08-19 10:44:26,EXIT,3:44
2025-08-19 10:44:27,ARRIVAL,3:42
