Timestamp,Event Type,Assigned Spot
2025-08-19 10:29:31,ARRIVAL,1:1
2025-08-19 10:29:31,ARRIVAL,1:39
2025-08-19 10:29:32,ARRIVAL,1:6
2025-08-19 10:29:33,ARRIVAL,1:21
2025-08-19 10:29:35,EXIT,1:39
2025-08-19 10:29:35,ARRIVAL,2:4
2025-08-19 10:29:36,ARRIVAL,1:37
2025-08-19 10:29:37,ARRIVAL,3:20
2025-08-19 10:29:38,ARRIVAL,1:7
2025-08-19 10:29:39,ARRIVAL,2:10
2025-08-19 10:29:40,EXIT,1:6
2025-08-19 10:29:41,ARRIVAL,1:12
2025-08-19 10:29:42,ARRIVAL,1:19
2025-08-19 10:29:43,ARRIVAL,3:17
2025-08-19 10:29:44,ARRIVAL,2:18
2025-08-19 10:29:45,ARRIVAL,2:39
2025-08-19 10:29:46,ARRIVAL,2:30
2025-08-19 10:29:47,ARRIVAL,3:12
2025-08-19 10:29:48,ARRIVAL,3:1
2025-08-19 10:29:49,ARRIVAL,3:43
2025-08-19 10:29:50,EXIT,1:37
2025-08-19 10:29:51,ARRIVAL,1:24
2025-08-19 10:29:52,ARRIVAL,2:29
2025-08-19 10:29:53,ARRIVAL,2:41
2025-08-19 10:29:54,ARRIVAL,1:28
2025-08-19 10:29:55,ARRIVAL,1:35
2025-08-19 10:29:56,ARRIVAL,3:47
2025-08-19 10:29:57,ARRIVAL,1:50
2025-08-19 10:29:58,EXIT,1:24
2025-08-19 10:29:59,ARRIVAL,1:13
2025-08-19 10:30:00,EXIT,1:50
2025-08-19 10:30:01,ARRIVAL,2:24
2025-08-19 10:30:02,ARRIVAL,2:23
2025-08-19 10:30:03,ARRIVAL,1:37
2025-08-19 10:30:04,EXIT,2:29
2025-08-19 10:30:05,EXIT,1:12
2025-08-19 10:30:06,ARRIVAL,1:15
2025-08-19 10:30:07,ARRIVAL,1:11
2025-08-19 10:30:08,ARRIVAL,1:5
2025-08-19 10:30:09,EXIT,1:15
2025-08-19 10:30:10,ARRIVAL,2:13
2025-08-19 10:30:11,ARRIVAL,2:6
2025-08-19 10:30:12,ARRIVAL,3:38
2025-08-19 10:30:13,ARRIVAL,3:33
2025-08-19 10:30:14,ARRIVAL,3:6
2025-08-19 10:30:15,ARRIVAL,3:3
2025-08-19 10:30:16,ARRIVAL,1:44
2025-08-19 10:30:17,ARRIVAL,2:31
2025-08-19 10:30:18,EXIT,2:39
2025-08-19 10:30:19,ARRIVAL,1:41
2025-08-19 10:30:20,ARRIVAL,2:47
2025-08-19 10:30:21,ARRIVAL,1:27
2025-08-19 10:30:22,ARRIVAL,1:8
2025-08-19 10:30:23,ARRIVAL,1:9
2025-08-19 10:30:24,ARRIVAL,2:8
2025-08-19 10:30:25,EXIT,3:43
2025-08-19 10:30:27,ARRIVAL,2:34
2025-08-19 10:30:27,ARRIVAL,2:33
2025-08-19 10:30:28,ARRIVAL,1:15
2025-08-19 10:30:29,ARRIVAL,2:46
2025-08-19 10:30:30,ARRIVAL,2:27
2025-08-19 10:30:31,ARRIVAL,2:29
2025-08-19 10:30:32,ARRIVAL,2:32
2025-08-19 10:30:33,ARRIVAL,3:22
2025-08-19 10:30:34,ARRIVAL,2:37
2025-08-19 10:30:35,ARRIVAL,3:45
2025-08-19 10:30:37,ARRIVAL,3:35
2025-08-19 10:30:38,EXIT,2:8
2025-08-19 10:30:39,ARRIVAL,3:48
2025-08-19 10:30:40,ARRIVAL,3:50
2025-08-19 10:30:41,EXIT,1:44
2025-08-19 10:30:42,ARRIVAL,3:42
2025-08-19 10:30:43,ARRIVAL,1:18
2025-08-19 10:30:44,ARRIVAL,1:20
2025-08-19 10:30:45,ARRIVAL,1:33
2025-08-19 10:30:46,EXIT,2:4
2025-08-19 10:30:47,ARRIVAL,1:46
