Timestamp,Event Type,Assigned Spot
2025-08-21 12:22:38,ARRIVAL,1:34
2025-08-21 12:22:39,ARRIVAL,1:18
2025-08-21 12:22:40,ARRIVAL,1:16
2025-08-21 12:22:41,ARRIVAL,1:5
2025-08-21 12:22:42,ARRIVAL,1:3
2025-08-21 12:22:43,ARRIVAL,2:8
2025-08-21 12:22:44,ARRIVAL,2:43
2025-08-21 12:22:45,EXIT,2:8
2025-08-21 12:22:46,ARRIVAL,2:48
2025-08-21 12:22:47,ARRIVAL,1:46
2025-08-21 12:22:48,EXIT,2:43
2025-08-21 12:22:49,EXIT,1:3
2025-08-21 12:22:50,ARRIVAL,2:33
2025-08-21 12:22:51,ARRIVAL,2:27
2025-08-21 12:22:52,ARRIVAL,2:10
2025-08-21 12:22:53,ARRIVAL,2:32
2025-08-21 12:22:54,ARRIVAL,2:42
2025-08-21 12:22:55,ARRIVAL,3:26
2025-08-21 12:22:56,ARRIVAL,3:42
2025-08-21 12:22:57,ARRIVAL,1:40
2025-08-21 12:22:58,ARRIVAL,3:3
2025-08-21 12:22:59,ARRIVAL,3:34
2025-08-21 12:23:00,ARRIVAL,3:48
2025-08-21 12:23:01,ARRIVAL,1:41
2025-08-21 12:23:02,ARRIVAL,1:48
2025-08-21 12:23:03,ARRIVAL,1:44
2025-08-21 12:23:04,ARRIVAL,1:42
2025-08-21 12:23:05,ARRIVAL,3:4
2025-08-21 12:23:06,ARRIVAL,2:22
2025-08-21 12:23:07,ARRIVAL,2:44
2025-08-21 12:23:08,ARRIVAL,2:18
2025-08-21 12:23:09,EXIT,3:34
2025-08-21 12:23:10,ARRIVAL,1:25
2025-08-21 12:23:13,ARRIVAL,2:26
2025-08-21 12:23:13,ARRIVAL,1:26
2025-08-21 12:23:13,ARRIVAL,3:45
2025-08-21 12:23:14,ARRIVAL,2:17
2025-08-21 12:23:15,ARRIVAL,2:19
2025-08-21 12:23:16,ARRIVAL,3:24
2025-08-21 12:23:17,EXIT,1:40
2025-08-21 12:23:18,ARRIVAL,3:16
2025-08-21 12:23:19,ARRIVAL,3:33
2025-08-21 12:23:20,ARRIVAL,3:21
2025-08-21 12:23:21,ARRIVAL,3:1
2025-08-21 12:23:22,ARRIVAL,2:23
2025-08-21 12:23:23,EXIT,3:4
2025-08-21 12:23:24,ARRIVAL,1:24
2025-08-21 12:23:25,EXIT,2:42
2025-08-21 12:23:26,EXIT,1:5
2025-08-21 12:23:27,ARRIVAL,1:5
2025-08-21 12:23:28,EXIT,3:24
2025-08-21 12:23:29,ARRIVAL,3:35
2025-08-21 12:23:30,ARRIVAL,1:39
2025-08-21 12:23:31,ARRIVAL,1:20
2025-08-21 12:23:32,ARRIVAL,3:5
2025-08-21 12:23:33,ARRIVAL,1:4
2025-08-21 12:23:34,ARRIVAL,1:6
2025-08-21 12:23:35,ARRIVAL,2:50
2025-08-21 12:23:36,ARRIVAL,2:38
2025-08-21 12:23:37,ARRIVAL,3:6
2025-08-21 12:23:38,ARRIVAL,2:3
2025-08-21 12:23:39,ARRIVAL,3:27
2025-08-21 12:23:40,ARRIVAL,3:29
2025-08-21 12:23:41,EXIT,1:25
2025-08-21 12:23:42,ARRIVAL,3:41
2025-08-21 12:23:43,ARRIVAL,3:39
2025-08-21 12:23:44,ARRIVAL,1:8
2025-08-21 12:23:45,EXIT,2:18
2025-08-21 12:23:46,ARRIVAL,2:31
2025-08-21 12:23:47,ARRIVAL,2:34
2025-08-21 12:23:48,ARRIVAL,1:30
2025-08-21 12:23:49,EXIT,2:34
2025-08-21 12:23:50,ARRIVAL,1:37
2025-08-21 12:23:51,ARRIVAL,1:29
2025-08-21 12:23:52,ARRIVAL,1:21
2025-08-21 12:23:53,ARRIVAL,2:16
2025-08-21 12:23:54,ARRIVAL,2:25
2025-08-21 12:23:55,ARRIVAL,2:9
2025-08-21 12:23:56,EXIT,3:33
2025-08-21 12:23:57,ARRIVAL,2:37
2025-08-21 12:23:58,ARRIVAL,2:47
2025-08-21 12:23:59,ARRIVAL,3:22
2025-08-21 12:24:00,EXIT,1:20
2025-08-21 12:24:01,ARRIVAL,1:45
2025-08-21 12:24:02,ARRIVAL,3:28
2025-08-21 12:24:03,ARRIVAL,2:40
2025-08-21 12:24:04,ARRIVAL,3:19
2025-08-21 12:24:05,ARRIVAL,2:29
2025-08-21 12:24:06,EXIT,3:42
2025-08-21 12:24:07,ARRIVAL,3:24
2025-08-21 12:24:08,ARRIVAL,3:20
2025-08-21 12:24:09,EXIT,2:25
2025-08-21 12:24:10,EXIT,2:31
2025-08-21 12:24:11,ARRIVAL,3:2
2025-08-21 12:24:12,ARRIVAL,2:28
2025-08-21 12:24:13,EXIT,2:40
2025-08-21 12:24:14,ARRIVAL,2:7
2025-08-21 12:24:15,ARRIVAL,1:36
2025-08-21 12:24:16,EXIT,1:37
2025-08-21 12:24:17,ARRIVAL,1:38
2025-08-21 12:24:18,ARRIVAL,3:4
2025-08-21 12:24:19,ARRIVAL,2:39
2025-08-21 12:24:20,ARRIVAL,1:22
2025-08-21 12:24:21,ARRIVAL,2:49
2025-08-21 12:24:22,ARRIVAL,1:11
2025-08-21 12:24:23,ARRIVAL,2:41
2025-08-21 12:24:24,ARRIVAL,2:21
2025-08-21 12:24:25,ARRIVAL,3:34
2025-08-21 12:24:26,ARRIVAL,3:38
2025-08-21 12:24:27,ARRIVAL,3:31
2025-08-21 12:24:28,ARRIVAL,3:12
2025-08-21 12:24:29,ARRIVAL,1:32
2025-08-21 12:24:30,ARRIVAL,2:30
2025-08-21 12:24:31,ARRIVAL,2:35
2025-08-21 12:24:32,ARRIVAL,2:25
2025-08-21 12:24:33,ARRIVAL,2:8
2025-08-21 12:24:34,EXIT,2:47
2025-08-21 12:24:35,ARRIVAL,2:5
2025-08-21 12:24:36,ARRIVAL,2:12
2025-08-21 12:24:37,ARRIVAL,1:40
2025-08-21 12:24:38,ARRIVAL,3:36
2025-08-21 12:24:39,ARRIVAL,3:46
